User_ID,Gender,Age_Group,User_Tier
U-5000,Male,18-21,Free
U-5001,Female,18-21,Free
U-5002,Female,22-25,Free
U-5003,Female,18-21,Premium
U-5004,Female,22-25,Free
U-5005,Female,22-25,Influencer
U-5006,Female,18-21,Premium
U-5007,Female,18-21,Free
U-5008,Female,22-25,Free
U-5009,Female,18-21,Free
U-5010,Female,18-21,Premium
U-5011,Female,22-25,Premium
U-5012,Female,18-21,Free
U-5013,Male,18-21,Free
U-5014,Male,22-25,Premium
U-5015,Female,26-30,Free
U-5016,Female,18-21,Free
U-5017,Female,30+,Free
U-5018,Female,22-25,Free
U-5019,Female,18-21,Free
U-5020,Female,30+,Free
U-5021,Male,18-21,Premium
U-5022,Female,18-21,Free
U-5023,Male,18-21,Premium
U-5024,Male,26-30,Free
U-5025,Female,22-25,Premium
U-5026,Male,26-30,Free
U-5027,Male,18-21,Free
U-5028,Male,22-25,Free
U-5029,Female,18-21,Free
U-5030,Male,22-25,Free
U-5031,Female,30+,Premium
U-5032,Female,18-21,Free
U-5033,Male,18-21,Premium
U-5034,Female,22-25,Free
U-5035,Female,18-21,Free
U-5036,Male,18-21,Premium
U-5037,Male,18-21,Free
U-5038,Female,22-25,Free
U-5039,Male,18-21,Free
U-5040,Female,22-25,Free
U-5041,Male,22-25,Free
U-5042,Male,18-21,Premium
U-5043,Male,26-30,Free
U-5044,Male,30+,Free
U-5045,Female,22-25,Premium
U-5046,Male,30+,Premium
U-5047,Female,22-25,Premium
U-5048,Female,18-21,Premium
U-5049,Male,22-25,Free
U-5050,Non-Binary,18-21,Influencer
U-5051,Male,22-25,Free
U-5052,Female,22-25,Free
U-5053,Female,18-21,Premium
U-5054,Male,26-30,Free
U-5055,Female,22-25,Free
U-5056,Female,18-21,Free
U-5057,Female,26-30,Free
U-5058,Female,22-25,Free
U-5059,Male,18-21,Free
U-5060,Male,18-21,Premium
U-5061,Female,22-25,Premium
U-5062,Male,18-21,Free
U-5063,Male,22-25,Premium
U-5064,Female,18-21,Free
U-5065,Female,26-30,Premium
U-5066,Male,18-21,Free
U-5067,Female,18-21,Free
U-5068,Male,18-21,Free
U-5069,Female,26-30,Free
U-5070,Female,22-25,Free
U-5071,Male,18-21,Free
U-5072,Female,18-21,Free
U-5073,Female,18-21,Free
U-5074,Female,18-21,Free
U-5075,Male,18-21,Free
U-5076,Female,18-21,Free
U-5077,Female,18-21,Free
U-5078,Female,22-25,Free
U-5079,Female,22-25,Premium
U-5080,Female,22-25,Free
U-5081,Female,18-21,Premium
U-5082,Male,18-21,Free
U-5083,Female,30+,Free
U-5084,Male,18-21,Free
U-5085,Female,22-25,Free
U-5086,Female,22-25,Premium
U-5087,Male,18-21,Free
U-5088,Female,22-25,Free
U-5089,Female,22-25,Free
U-5090,Male,18-21,Premium
U-5091,Male,26-30,Premium
U-5092,Male,18-21,Premium
U-5093,Female,22-25,Premium
U-5094,Female,18-21,Free
U-5095,Male,18-21,Free
U-5096,Female,22-25,Premium
U-5097,Male,26-30,Free
U-5098,Male,18-21,Premium
U-5099,Female,22-25,Free
U-5100,Male,22-25,Free
U-5101,Male,18-21,Free
U-5102,Male,22-25,Free
U-5103,Male,18-21,Influencer
U-5104,Female,22-25,Free
U-5105,Female,30+,Free
U-5106,Female,18-21,Premium
U-5107,Male,30+,Free
U-5108,Female,18-21,Free
U-5109,Female,18-21,Free
U-5110,Male,18-21,Free
U-5111,Female,18-21,Free
U-5112,Male,18-21,Free
U-5113,Male,18-21,Free
U-5114,Female,26-30,Free
U-5115,Female,26-30,Free
U-5116,Male,18-21,Free
U-5117,Male,18-21,Premium
U-5118,Female,22-25,Premium
U-5119,Female,22-25,Free
U-5120,Male,18-21,Free
U-5121,Male,26-30,Free
U-5122,Female,22-25,Premium
U-5123,Female,22-25,Premium
U-5124,Female,22-25,Free
U-5125,Male,30+,Free
U-5126,Male,26-30,Free
U-5127,Female,22-25,Premium
U-5128,Male,22-25,Premium
U-5129,Female,22-25,Free
U-5130,Female,18-21,Free
U-5131,Female,22-25,Premium
U-5132,Female,18-21,Free
U-5133,Male,18-21,Influencer
U-5134,Female,22-25,Premium
U-5135,Female,18-21,Free
U-5136,Female,18-21,Premium
U-5137,Female,22-25,Free
U-5138,Male,18-21,Free
U-5139,Female,18-21,Free
