Order_ID,Order_Date,User_ID,Product_ID,Loc_ID,Referral_Source,Quantity,Unit_Price,Unit_Cost,Status
ORD-45487,2024-01-01 05:10:00,U-5017,P15,L-SS1,Reels,1,6000,1500,Completed
ORD-45597,2024-01-01 06:03:00,U-5705,P10,L-SS1,Chant,1,12500,7200,Completed
ORD-44296,2024-01-01 07:31:00,U-5439,P13,L-NC1,Reels,1,4500,2100,Completed
ORD-41858,2024-01-01 08:18:00,U-5439,P13,L-NC1,Reels,1,4500,2100,Completed
ORD-46259,2024-01-01 09:03:00,U-5846,P12,L-NW1,Chant,1,28000,19000,Completed
ORD-47415,2024-01-01 09:54:00,U-5166,P10,L-SW2,Direct Link,1,12500,7200,Completed
ORD-45600,2024-01-01 09:56:00,U-5887,P10,L-SW2,Search,2,12500,7200,Completed
ORD-45810,2024-01-01 10:37:00,U-5700,P13,L-SS1,Profile Feed,1,4500,2100,Completed
ORD-41407,2024-01-01 12:35:00,U-5411,P15,L-NW1,Reels,1,6000,1500,Completed
ORD-45442,2024-01-01 14:10:00,U-5858,P10,L-NW1,Chant,1,12500,7200,Failed
ORD-46999,2024-01-01 18:28:00,U-5856,P14,L-NC1,Chant,1,2000,300,Completed
ORD-43763,2024-01-01 19:03:00,U-5574,P14,L-SW1,Reels,1,2000,300,Completed
ORD-46768,2024-01-01 19:11:00,U-5313,P14,L-SS1,Reels,1,2000,300,Completed
ORD-40463,2024-01-01 19:15:00,U-5026,P15,L-NW1,Reels,1,6000,1500,Completed
ORD-45395,2024-01-01 19:40:00,U-5560,P14,L-NC1,Search,1,2000,300,Completed
ORD-40638,2024-01-01 20:29:00,U-5447,P10,L-SE1,Direct Link,3,12500,7200,Completed
ORD-43829,2024-01-01 21:15:00,U-5216,P16,L-SW1,Direct Link,1,8500,3800,Completed
ORD-42459,2024-01-01 21:27:00,U-5053,P15,L-SE1,Direct Link,1,6000,1500,Completed
ORD-42341,2024-01-01 22:45:00,U-5520,P16,L-SE1,Reels,3,8500,3800,Completed
ORD-40867,2024-01-01 22:55:00,U-5958,P11,L-SW2,Reels,1,35000,4500,Completed
ORD-41290,2024-01-01 22:59:00,U-5657,P12,L-SS1,Chant,1,28000,19000,Completed
ORD-44515,2024-01-01 23:06:00,U-5120,P13,L-SE1,Chant,1,4500,2100,Completed
ORD-43143,2024-01-01 23:49:00,U-5227,P16,L-SS1,Chant,1,8500,3800,Completed
ORD-43939,2024-01-02 07:06:00,U-5120,P15,L-NC1,Direct Link,1,6000,1500,Completed
ORD-42328,2024-01-02 13:11:00,U-5696,P12,L-SE1,Reels,3,28000,19000,Completed
